,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2186254,1520325,131634,prior,56,3,9,3.0
298238,2232530,18037,prior,1,3,11,
427081,42741,25648,prior,2,1,22,28.0
2177870,2167869,131089,prior,4,2,10,16.0
2073341,2447791,124656,prior,7,5,8,8.0
1345445,2453426,80839,prior,3,1,12,0.0
201267,991790,12177,prior,32,4,11,6.0
2086086,156114,125421,prior,15,1,19,2.0
2165463,2123313,130286,prior,4,6,12,7.0
156510,1811655,9420,prior,45,4,9,6.0
2718827,411199,163770,train,9,1,14,30.0
786011,1293653,47263,prior,3,0,13,3.0
1364028,472739,81965,prior,53,3,16,8.0
2372996,2924783,142841,prior,49,3,16,3.0
706536,1665713,42555,prior,81,5,16,3.0
714793,2933366,43052,prior,16,1,12,9.0
3150994,364976,190016,prior,18,3,12,7.0
952846,3386438,57159,prior,11,1,13,2.0
845195,2485668,50777,prior,11,4,22,3.0
1548265,352127,93012,prior,25,1,20,6.0
970111,1420269,58273,prior,8,4,12,22.0
2669008,2926140,160657,prior,33,6,22,7.0
318149,158952,19267,prior,2,1,11,27.0
1094229,2717603,65927,prior,40,1,13,0.0
913407,3009552,54844,prior,25,0,14,3.0
2872141,2564505,173296,prior,2,6,14,6.0
2569037,2364778,154575,prior,3,3,14,30.0
1494360,1188119,89790,prior,7,0,10,30.0
261306,3333724,15843,prior,47,6,16,0.0
10150,2156512,643,prior,9,1,14,30.0
754627,1835231,45403,prior,15,2,8,4.0
2235232,2956718,134627,prior,3,6,10,30.0
3002962,1151727,181181,prior,25,0,15,4.0
2802384,1099683,169049,prior,32,6,7,5.0
2005920,1404716,120538,prior,64,6,8,2.0
2729145,731179,164421,prior,12,3,13,3.0
3116962,2006454,187952,prior,29,5,7,6.0
1586622,872986,95266,prior,11,5,9,6.0
1785201,3372372,107207,prior,2,5,13,4.0
1783100,1617262,107087,prior,7,0,9,8.0
2806908,2345256,169339,train,10,0,12,30.0
371940,1255995,22415,prior,2,2,14,30.0
777510,2467651,46728,prior,2,0,9,30.0
2825841,833475,170497,prior,7,6,15,6.0
2897240,1868957,174829,prior,11,0,11,14.0
2373985,2045716,142894,prior,35,4,19,1.0
1777690,3131127,106735,prior,9,3,11,3.0
1218096,914996,73229,prior,7,1,19,9.0
2295625,2414031,138261,prior,3,2,7,8.0
351894,2448170,21262,prior,17,4,4,7.0
3063341,2830024,184772,prior,38,5,14,3.0
1300449,2578999,78169,prior,1,1,16,
2565056,3268885,154346,prior,6,0,17,7.0
1774602,1149382,106553,prior,1,0,17,
1417222,1420741,85139,train,4,5,8,30.0
2838898,1507951,171315,prior,9,3,9,20.0
2513188,3057692,151312,prior,20,3,8,5.0
397265,1815972,23871,test,7,0,16,22.0
3395028,1767979,204605,prior,49,5,10,5.0
2979880,1263058,179832,prior,42,0,14,6.0
1638938,1446186,98402,prior,6,1,9,7.0
1930159,3303908,115923,prior,25,4,14,30.0
731891,1151834,44051,prior,5,2,11,30.0
1984150,292195,119166,prior,2,0,11,19.0
822025,1021396,49441,prior,18,6,9,14.0
2505709,1075884,150840,prior,92,4,10,0.0
2569897,2132332,154631,prior,10,1,11,4.0
614248,282025,37035,prior,6,4,19,4.0
155817,1696987,9369,prior,8,0,15,30.0
648324,905831,39033,prior,1,5,11,
1998136,1184256,120072,test,7,3,7,12.0
1559049,3397267,93637,train,7,6,14,22.0
2188941,1581026,131797,prior,9,1,17,25.0
3290315,2351654,198296,prior,26,5,0,1.0
1009502,2285818,60661,prior,1,2,21,
2516289,1307598,151458,prior,3,1,11,7.0
2509101,2699173,151060,prior,27,4,15,12.0
1781746,2471049,106994,prior,10,0,13,11.0
366378,21796,22125,train,7,5,12,30.0
3278528,702805,197610,prior,35,0,11,5.0
2344637,1941534,141135,prior,31,5,10,7.0
2537576,2006264,152684,prior,8,0,20,12.0
1111594,2495572,66881,prior,43,6,11,6.0
610337,3052190,36789,prior,14,5,15,0.0
1181105,183680,70992,prior,26,2,12,6.0
2901305,1613608,175067,prior,27,5,14,8.0
2252365,10471,135657,prior,3,0,3,30.0
1155583,3276609,69459,prior,55,0,14,7.0
3288121,674323,198177,prior,5,1,9,17.0
472027,1479604,28466,prior,10,0,16,12.0
597762,2960583,36039,prior,22,0,13,3.0
701279,3308475,42242,prior,23,5,10,7.0
1014940,890503,60981,test,16,5,13,5.0
785691,311482,47244,prior,46,2,8,3.0
264476,1641913,16025,prior,15,4,12,7.0
2685804,445507,161754,prior,3,3,11,8.0
1135126,800299,68246,prior,26,2,5,4.0
2922654,2401473,176333,prior,14,6,11,0.0
1953593,850484,117291,prior,1,4,8,
1725052,1072836,103559,prior,3,3,18,30.0
3114412,1231162,187805,prior,5,1,17,30.0
1995472,3112396,119894,prior,29,4,14,3.0
80602,3111110,4925,prior,10,5,10,13.0
63256,2907282,3911,prior,2,3,14,30.0
2190478,2990195,131886,prior,2,3,12,30.0
3374042,501915,203326,prior,13,1,19,3.0
1089927,2635082,65666,prior,3,5,14,0.0
1521036,1132479,91379,prior,29,5,7,19.0
1135654,2448807,68263,prior,28,0,14,8.0
1091636,3050228,65777,prior,38,5,9,2.0
1977162,3298495,118732,prior,42,0,16,3.0
2177,2335689,146,prior,20,4,18,12.0
1987541,918749,119382,prior,12,0,20,14.0
1602687,760322,96223,prior,18,1,6,5.0
1822500,916243,109445,prior,7,2,19,20.0
2973797,1179568,179477,prior,14,1,11,6.0
1671139,1153612,100320,prior,4,4,14,13.0
3087304,3122284,186199,train,9,1,21,30.0
1553117,3165966,93273,prior,31,0,18,10.0
1208625,2152474,72670,prior,20,2,14,6.0
2297554,1171403,138364,prior,25,4,8,6.0
582888,2987334,35105,prior,9,4,21,13.0
1091540,2162935,65771,prior,3,4,10,8.0
2507746,689306,150981,train,8,5,8,30.0
1536118,2711736,92271,prior,6,5,12,30.0
2573471,2005159,154845,prior,9,2,16,2.0
3059065,519817,184511,prior,41,0,0,14.0
150854,2462122,9077,prior,13,2,19,22.0
2670361,2396530,160746,prior,41,5,23,6.0
506157,2751555,30547,prior,13,0,14,21.0
3244210,2488583,195535,prior,27,1,12,13.0
2682366,2982539,161545,prior,20,5,15,2.0
2773287,852685,167190,prior,8,1,13,9.0
1994939,2474951,119854,prior,47,5,0,30.0
135152,2051301,8143,prior,15,6,18,4.0
2567432,2442183,154478,prior,30,3,9,14.0
2629340,1448105,158312,prior,12,5,18,1.0
1371150,1167922,82410,prior,33,2,19,8.0
1065142,1620586,64142,prior,16,3,11,5.0
1385514,1889786,83276,prior,4,1,10,10.0
2542728,2398632,152988,prior,5,1,18,10.0
915639,265961,54957,prior,30,0,17,3.0
646420,1601406,38936,prior,30,0,20,2.0
840560,2090915,50503,prior,11,1,16,19.0
484606,1664934,29221,prior,11,5,9,4.0
662360,878728,39901,prior,84,5,13,0.0
214810,546953,12969,prior,2,2,10,30.0
989762,1757556,59490,train,41,5,13,0.0
2011750,2164661,120881,prior,1,5,11,
2664197,334466,160367,prior,11,0,15,6.0
2369024,2335324,142598,prior,33,3,9,2.0
340186,3048447,20605,prior,2,3,6,9.0
1441591,38714,86625,prior,9,1,17,22.0
1970659,2903278,118343,prior,22,6,8,10.0
2498056,2106091,150357,prior,15,0,9,11.0
2967349,1608437,179090,prior,84,5,15,1.0
1135303,1905104,68250,train,19,1,12,2.0
2941328,1566688,177466,train,14,3,10,10.0
901872,2054510,54174,prior,4,6,15,21.0
114597,606295,6933,prior,22,0,13,4.0
1554982,2149889,93415,prior,3,6,16,7.0
1359870,2490080,81724,prior,5,6,13,14.0
11868,952757,735,prior,1,6,10,
1552574,2587845,93244,prior,17,5,7,2.0
3262154,642668,196613,prior,69,2,16,2.0
202043,308361,12212,prior,7,2,15,12.0
1725679,1846766,103595,train,22,0,17,7.0
1481004,2977837,89013,prior,5,4,15,23.0
3232498,1500576,194856,prior,4,4,15,11.0
2892638,2187245,174554,prior,5,4,19,30.0
1746380,3395879,104839,prior,17,3,16,7.0
3273467,2316873,197303,prior,18,6,10,3.0
924802,1400053,55504,prior,25,4,9,8.0
2713092,1064590,163397,prior,9,2,12,30.0
1153944,2187965,69359,prior,27,5,13,3.0
490124,1726635,29569,prior,36,1,9,0.0
3106753,220005,187347,prior,5,0,11,30.0
177467,635226,10713,prior,1,5,13,
2939152,2036674,177322,prior,2,0,20,30.0
481304,2011389,29032,prior,10,2,14,6.0
1026362,2788896,61699,prior,40,0,17,1.0
3357306,1143346,202372,prior,23,1,10,0.0
3008766,2998761,181555,prior,10,0,17,3.0
279341,181090,16883,prior,29,5,21,6.0
2344717,213636,141140,prior,11,0,14,15.0
3168064,1269081,191015,prior,1,2,19,
269424,2435718,16303,prior,7,1,10,7.0
692785,2061378,41766,prior,9,0,14,15.0
2618278,411737,157633,prior,16,4,8,13.0
2905482,1712724,175303,prior,50,0,21,3.0
2798714,1315688,168845,prior,1,4,16,
1571084,1479258,94383,prior,8,4,16,18.0
2928863,2459856,176710,prior,4,3,10,8.0
1511959,2757665,90863,prior,23,2,16,2.0
2325192,472142,139992,prior,13,0,14,3.0
728899,2980273,43859,train,22,1,9,25.0
2320244,3353257,139721,prior,94,4,12,1.0
1805241,3214298,108423,prior,13,6,20,4.0
2582802,2513512,155457,prior,9,3,14,30.0
1222715,1037125,73498,prior,2,5,9,30.0
1287469,2698865,77409,prior,10,4,17,11.0
491951,1380629,29672,prior,29,2,11,1.0
2392512,1003553,143980,train,12,1,11,28.0
1485489,1696932,89288,prior,2,3,15,14.0
420731,57369,25311,prior,5,6,16,30.0
1761724,2587165,105748,prior,24,1,2,4.0
2641776,1791926,159043,prior,48,5,9,7.0
1760872,1519075,105693,prior,6,6,9,7.0
3179354,2432460,191712,prior,16,6,13,17.0
259871,1497320,15749,train,7,5,12,11.0
2893419,281766,174608,prior,7,0,9,7.0
2101666,1926162,126375,prior,5,6,15,30.0
1557946,3234331,93581,prior,83,0,7,2.0
929782,3287398,55764,prior,4,1,12,14.0
1591895,1730740,95590,prior,5,4,6,0.0
2775208,878650,167312,prior,3,3,15,4.0
1471713,1068506,88441,prior,34,5,15,5.0
2421502,1066730,145695,prior,38,1,0,10.0
2565742,1834506,154382,prior,16,3,18,9.0
2969041,1376606,179192,prior,48,3,12,3.0
1168568,1534781,70247,prior,42,3,17,5.0
1957068,428468,117510,prior,4,3,20,27.0
779252,2053041,46844,prior,19,6,17,2.0
1271503,1316143,76462,prior,6,0,20,21.0
3287458,99240,198138,prior,3,4,17,6.0
2453251,1996446,147645,prior,2,0,12,30.0
2111001,2349677,126968,prior,12,5,13,20.0
979465,505683,58880,prior,4,6,15,9.0
2482041,149885,149395,prior,36,3,17,24.0
1036229,572625,62352,test,4,3,7,30.0
3041063,2847592,183467,prior,19,0,0,2.0
3128430,2124434,188605,prior,9,1,11,3.0
3075425,1944647,185483,prior,15,5,18,5.0
1469627,2214335,88317,train,80,0,15,11.0
567713,2091014,34204,prior,43,2,9,6.0
1235041,2961982,74244,prior,12,1,8,17.0
2678919,1345067,161329,prior,34,6,8,11.0
3159793,2780199,190512,prior,5,5,13,9.0
3238774,1499190,195227,prior,25,1,5,4.0
1510647,1615914,90776,prior,2,4,22,30.0
752929,2753667,45324,prior,37,4,10,9.0
3365544,87099,202862,prior,11,2,12,20.0
1046604,2772386,62995,prior,11,1,15,24.0
1729343,2107883,103805,prior,23,1,18,5.0
2857351,2460072,172403,prior,30,3,16,4.0
1361725,378960,81827,prior,33,1,10,8.0
2011954,439560,120896,prior,4,0,11,30.0
172327,57160,10402,prior,8,6,15,20.0
1085673,1725294,65392,prior,14,4,19,6.0
2462055,1165311,148185,prior,51,3,11,2.0
67250,2756574,4177,prior,5,1,14,3.0
1278670,2238485,76901,prior,44,0,20,20.0
795224,1578155,47822,prior,7,1,13,9.0
2112183,2880033,127031,prior,3,4,14,2.0
2677381,1592257,161209,test,46,6,15,6.0
2552717,2669982,153593,prior,27,0,10,2.0
2149510,1693360,129297,prior,5,2,11,6.0
3104000,3080692,187182,prior,15,4,15,26.0
2028958,2537599,121872,prior,18,4,10,13.0
1314432,2371803,79002,prior,9,1,12,8.0
1054143,1238023,63454,prior,8,3,8,4.0
2546094,2971511,153196,prior,5,6,17,0.0
350281,1910088,21174,prior,17,2,9,11.0
2538143,3247553,152723,prior,7,5,10,30.0
2111140,169689,126980,prior,29,1,9,3.0
1921270,342067,115396,prior,35,5,23,10.0
287490,2875854,17388,prior,32,4,10,9.0
2686807,1119038,161821,prior,10,4,10,18.0
2302868,166619,138671,prior,3,3,17,3.0
2357002,684934,141883,train,4,1,16,30.0
3257787,38675,196334,prior,7,5,10,30.0
3354427,3180704,202203,train,34,2,19,5.0
486149,1239874,29326,prior,2,3,16,7.0
2451670,1742763,147540,test,10,2,18,0.0
2646111,451570,159312,prior,7,5,16,6.0
1986164,1057438,119290,prior,2,1,19,6.0
3342153,135653,201457,prior,22,0,11,12.0
502149,2989747,30294,prior,24,2,13,4.0
2267980,459415,136564,prior,10,6,8,7.0
3300435,1979100,198902,prior,27,1,10,7.0
80239,926816,4893,prior,7,6,10,6.0
2386631,2780356,143629,prior,11,1,12,10.0
791574,1780208,47603,prior,3,4,14,4.0
2207337,2681903,132939,prior,11,5,11,1.0
719728,859345,43341,prior,4,6,13,13.0
1205285,2970793,72461,test,100,2,15,1.0
341124,1423168,20659,prior,66,6,11,5.0
2091463,2964529,125749,prior,5,6,19,6.0
972051,3325205,58409,train,42,6,20,6.0
526362,630967,31729,prior,22,6,8,16.0
870284,2608013,52297,prior,14,4,11,2.0
2602458,1922182,156654,prior,12,6,12,30.0
1779179,3373332,106825,prior,7,0,18,4.0
1535967,2012603,92259,prior,2,0,14,30.0
1353751,2395933,81350,prior,68,0,6,4.0
71080,2894216,4382,prior,41,5,14,2.0
3049697,3013792,183981,prior,53,0,7,5.0
470221,731342,28360,prior,9,6,7,12.0
1922982,2715161,115499,prior,10,4,22,5.0
1647681,1186835,98918,prior,6,1,16,2.0
1493697,766162,89757,test,13,5,8,30.0
731856,1596387,44049,train,11,1,14,30.0
593149,375286,35749,prior,7,0,11,8.0
1477131,1211101,88777,prior,7,6,10,13.0
424206,2848077,25480,prior,43,2,10,5.0
3183052,2993754,191924,prior,2,4,15,3.0
128978,3152768,7776,prior,6,3,14,6.0
437524,1607991,26301,prior,3,4,17,30.0
383908,1630110,23083,prior,5,3,12,30.0
2608241,1150697,157013,prior,5,3,14,6.0
241427,2428342,14613,prior,3,2,13,30.0
3287555,1292151,198144,prior,4,1,13,5.0
1879984,3121788,112843,train,9,4,10,5.0
2366676,213689,142447,prior,11,4,9,2.0
2724316,2389185,164097,prior,1,2,14,
537629,2049481,32406,prior,26,4,14,8.0
1860719,1714240,111683,prior,45,1,16,5.0
2938559,2178432,177279,prior,8,5,16,16.0
1065007,274395,64134,prior,30,0,13,9.0
3158858,115399,190459,prior,15,4,19,5.0
2456719,2912124,147855,prior,63,6,7,6.0
1267143,1373786,76205,prior,46,1,19,4.0
1031017,341339,62016,prior,2,1,15,30.0
2322114,1218979,139825,train,16,6,22,14.0
2466911,1046198,148448,prior,78,4,15,1.0
796382,217218,47877,prior,15,5,14,4.0
379896,441996,22848,prior,28,6,11,6.0
547956,638711,33022,prior,2,0,13,30.0
903145,1443559,54252,prior,3,5,13,30.0
2511577,1154041,151216,prior,18,2,15,1.0
746080,3184785,44912,train,7,3,17,15.0
1323747,2399041,79531,prior,1,1,11,
1306074,3197359,78502,prior,37,5,12,6.0
2184647,1189212,131526,prior,3,2,7,8.0
754795,1416332,45414,prior,7,5,20,3.0
2607201,2407134,156942,prior,8,1,9,7.0
2363908,2048658,142301,prior,7,0,21,11.0
2943424,35936,177605,prior,5,0,12,4.0
1206541,380494,72549,prior,6,5,14,30.0
3125058,1448324,188407,prior,41,3,13,2.0
133942,646304,8085,prior,58,4,11,2.0
1170425,1488341,70354,prior,15,3,20,30.0
1601986,2751033,96183,prior,18,3,16,5.0
2280501,2363973,137351,prior,3,1,17,2.0
1226150,887926,73683,prior,2,1,8,15.0
637039,829697,38394,prior,38,5,20,10.0
2675852,147837,161096,prior,16,0,12,12.0
537474,2031624,32400,prior,5,6,15,7.0
3181881,1524293,191859,test,18,0,7,8.0
2155511,2881993,129662,prior,38,5,14,10.0
2872797,2778778,173326,prior,18,6,10,6.0
1474684,374642,88619,prior,4,3,23,1.0
662634,2333512,39915,prior,15,6,9,6.0
40819,3019889,2518,prior,12,1,9,6.0
591047,2995818,35616,prior,20,0,16,7.0
459955,2421619,27680,prior,3,5,15,30.0
554127,2517118,33412,prior,8,0,12,15.0
2932870,1802404,176940,prior,46,5,14,0.0
629978,3017703,37952,prior,29,4,7,2.0
3252624,1707961,196057,prior,4,3,22,16.0
252755,854191,15297,prior,22,1,10,3.0
2672972,3241650,160915,train,6,0,11,7.0
1681855,1081888,100957,prior,2,1,12,7.0
627511,2166418,37810,prior,55,1,13,7.0
98960,540833,5978,prior,18,2,12,6.0
1823578,3243001,109515,prior,11,0,11,1.0
1238778,205260,74479,prior,38,1,20,8.0
3260479,515910,196496,prior,7,2,17,11.0
951974,1207282,57111,prior,4,2,16,15.0
2216458,1478999,133526,prior,1,4,16,
684819,2744379,41272,prior,27,5,15,14.0
1041739,370423,62711,prior,12,2,21,2.0
890514,3193373,53503,prior,8,6,13,6.0
910848,310203,54707,test,7,0,19,21.0
2832830,2966288,170922,prior,18,2,22,10.0
3012691,1493782,181804,prior,46,0,22,7.0
28021,1199448,1739,prior,6,6,13,6.0
1309494,3154628,78712,prior,4,1,13,13.0
589610,2246683,35519,prior,2,3,17,30.0
699132,2553017,42124,prior,19,2,9,8.0
2312343,1759190,139260,prior,14,6,12,4.0
1196632,2196768,71919,prior,39,3,17,4.0
506102,3190858,30542,prior,6,5,7,8.0
93825,70373,5676,train,7,4,16,30.0
161743,3298889,9732,prior,11,0,18,14.0
2357820,1471589,141930,train,11,1,9,18.0
1946207,862614,116870,prior,4,2,19,21.0
1404929,811891,84406,prior,9,4,12,21.0
783892,684680,47138,prior,13,3,20,2.0
2387851,3710,143707,prior,1,0,10,
1767437,826346,106101,prior,13,3,8,3.0
2723993,1712107,164073,prior,77,5,10,2.0
37908,2698415,2346,prior,3,0,13,15.0
1905755,76118,114421,test,5,3,13,9.0
20826,2478475,1287,prior,3,4,10,22.0
26105,908276,1615,prior,37,0,7,7.0
604458,1369194,36464,prior,2,5,15,2.0
94359,890392,5712,prior,8,0,14,2.0
811644,3090666,48826,prior,1,0,8,
128530,3197886,7749,prior,3,4,16,25.0
3126844,2832328,188517,prior,47,1,16,3.0
2270670,1720125,136726,prior,2,5,15,30.0
1812222,1227830,108832,prior,13,6,19,16.0
193170,425469,11710,prior,6,5,15,22.0
898066,1258571,53935,prior,7,4,8,30.0
1767784,361009,106121,prior,44,3,17,7.0
1419257,994571,85251,prior,5,5,13,30.0
1782370,2217479,107031,prior,6,0,12,7.0
1242796,177353,74721,prior,10,2,17,30.0
2616062,409152,157511,prior,9,3,8,30.0
2145329,2315167,129058,prior,2,4,15,24.0
1520454,164225,91354,prior,10,6,14,13.0
860852,2399902,51717,prior,10,2,10,2.0
1870292,821765,112267,prior,27,0,12,7.0
1830179,2079456,109926,prior,25,1,7,8.0
2195614,1784736,132190,prior,8,3,18,10.0
236139,2381417,14329,prior,2,6,11,25.0
360493,862892,21787,prior,5,3,8,7.0
110660,494632,6693,prior,39,1,3,30.0
1696884,1012810,101835,test,8,6,16,7.0
1713984,1679220,102922,prior,1,6,15,
2342443,3054727,141024,prior,6,5,17,8.0
3172905,1791855,191320,prior,2,1,18,30.0
1831456,166432,109994,prior,8,5,11,22.0
3154652,834694,190241,prior,1,0,18,
114129,1501131,6905,prior,33,3,19,14.0
802588,783581,48263,prior,19,2,13,11.0
2690491,4335,162040,prior,26,4,19,7.0
2840663,3071870,171417,prior,54,3,19,2.0
1608074,863469,96535,prior,3,4,16,4.0
925971,1045255,55572,prior,10,1,17,26.0
449548,2687520,27053,prior,12,0,22,9.0
1586384,2060671,95244,prior,5,0,14,0.0
2498218,1491285,150367,prior,60,0,8,5.0
38351,3213683,2381,prior,18,5,11,15.0
1995912,3086680,119929,prior,12,2,5,17.0
3133002,2711695,188871,prior,10,3,13,30.0
2296122,1384738,138284,prior,43,6,17,4.0
1177327,2292817,70763,prior,15,2,19,3.0
3420389,351134,206167,prior,1,4,7,
304497,146205,18411,prior,1,1,15,
1218994,331341,73291,prior,39,1,16,12.0
1107794,1436061,66650,prior,8,2,10,3.0
1158664,975300,69629,prior,35,0,15,12.0
2046998,2335931,122996,prior,6,6,13,7.0
2489275,822082,149835,prior,44,2,12,1.0
2099548,810790,126244,prior,4,0,16,30.0
195137,707806,11826,prior,2,3,23,5.0
2971816,3119223,179364,prior,36,2,8,0.0
1988616,3185588,119439,prior,39,0,9,6.0
277841,2271333,16781,prior,3,3,19,19.0
1503644,876724,90351,prior,2,5,16,30.0
663622,2598056,39974,prior,27,5,19,5.0
538884,3401746,32497,prior,10,3,14,5.0
1864747,192293,111923,prior,78,0,15,6.0
1347475,1048479,80955,prior,43,0,22,4.0
2527052,1669561,152085,prior,34,6,13,4.0
3087662,636893,186216,prior,24,0,12,9.0
3144514,3396950,189601,prior,2,2,9,19.0
2735590,1784739,164839,prior,74,1,15,1.0
252080,2903477,15235,prior,3,4,17,30.0
1144403,10620,68788,test,18,4,17,8.0
248253,2513893,15015,prior,2,4,10,10.0
859512,444589,51631,prior,1,1,10,
2924927,2224996,176464,prior,6,4,14,1.0
3077850,2628736,185615,prior,4,0,19,3.0
1607457,1417406,96502,prior,13,1,18,7.0
314202,1581829,19010,prior,3,1,12,8.0
2671916,2079343,160848,prior,7,6,10,3.0
2250922,2452395,135563,prior,24,0,14,1.0
3258028,3005074,196350,prior,15,5,14,8.0
2607378,858354,156960,prior,10,1,11,8.0
3065421,147107,184893,prior,23,1,11,6.0
36037,2032217,2231,test,100,1,11,4.0
2202822,1757020,132646,prior,18,5,12,30.0
245537,1473207,14857,prior,11,1,22,8.0
117738,2741855,7120,prior,86,1,15,6.0
396613,813015,23832,prior,28,1,7,4.0
412598,2930018,24830,prior,34,2,16,5.0
2295268,115000,138241,prior,99,1,14,5.0
2879232,2071997,173719,prior,38,6,8,6.0
2851682,461824,172058,prior,8,3,12,9.0
3086912,1771838,186173,prior,2,1,13,4.0
2132288,845690,128237,train,18,6,0,15.0
1098226,2254039,66160,prior,9,0,13,4.0
1662653,3033835,99815,prior,5,5,13,6.0
1836487,872578,110268,prior,7,1,22,30.0
1436054,644596,86309,prior,18,6,10,6.0
2713817,2058715,163442,prior,20,4,10,4.0
1778889,1072467,106812,prior,7,0,12,7.0
2895513,2567120,174734,prior,4,3,14,5.0
2592050,251097,156046,train,7,2,18,30.0
3262426,899059,196623,prior,69,5,8,3.0
605574,339753,36517,prior,20,3,13,2.0
68980,2343417,4273,prior,25,3,16,3.0
1283926,953590,77208,prior,12,5,9,8.0
735184,2249656,44238,prior,39,5,18,3.0
